patent_number,patent_title,patent_date,patent_content,patent_nation,patent_url_num,patent_url,,,,,,,,,,,,,,,,,,,,,
114627559,"MOTION PLAN PLANNING METHOD, DEVICE AND EQUIPMENT BASED ON BIG DATA ANALYSIS AND MEDIUM",14.06.2022,"The invention relates to an artificial intelligence technology, and discloses a motion plan planning method based on big data analysis, which comprises the following steps: segmenting a motion video sequence in a human motion video sequence into rectangular blocks, taking a search window as the center of the rectangular blocks, selecting a plurality of initial search points at the center of the rectangular blocks according to a search step length, performing three-step search processing in the rectangular block based on the plurality of initial search points to obtain a plurality of standard search points, selecting a compressed video sequence determined by the plurality of standard search points in the rectangular block, and extracting human skeleton data features in the compressed video sequence; a motion analysis model is obtained through big data construction and training, human skeleton data features are analyzed based on the motion analysis model, a motion analysis result is obtained, and a motion plan is planned. The invention further provides an exercise plan planning device based on big data analysis, electronic equipment and a computer readable storage medium. According to the invention, the problem of low efficiency of exercise plan planning can be solved.",CN,G06V 40/20,https://www.wipo.int/ipcpub/?symbol=G06V0040200000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114624329,MICRO-CONTROL EQUALIZING BEAM DIGITAL AUTOMATIC MAGNETIC PARTICLE FLAW DETECTOR,14.06.2022,"The invention provides a digital automatic magnetic particle flaw detector for a micro-control equalizing beam, which is designed by adopting a horizontal structure, mechanical and electrical integration, an integrated circuit and closed-loop digital control. The device is mainly composed of a rack, a liquid collecting tank, an air cylinder, a rotating shaft, a left electrode box, a longitudinal magnetizing coil, a mechanical lifting device, a right electrode box, a mechanical arm, a balance beam workpiece, a workpiece bracket, an electric control cabinet and a camera. The machine not only can perform circumferential or longitudinal independent magnetization, but also can perform circumferential and longitudinal composite magnetization, has the characteristics of high sensitivity, fast response, digitalization, omnibearing magnetization of workpieces, uniform distribution of a magnetic field, high stability, no leak detection and the like, avoids the risk of missed and misjudged, can automatically give an alarm when a fault occurs, can automatically display the position of the fault on a display screen, and is convenient to operate. The maintenance is convenient. The machine is provided with a camera shooting automatic identification system, the automation degree is high, a new field of artificial intelligence is developed for the flaw detection machine industry in China, and the running safety of the railway train is effectively guaranteed.",CN,G01N 27/84,https://www.wipo.int/ipcpub/?symbol=G01N0027840000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114630096,"TOF CAMERA POINT CLOUD DENSIFICATION METHOD, TOF CAMERA POINT CLOUD DENSIFICATION DEVICE, TOF CAMERA POINT CLOUD DENSIFICATION EQUIPMENT AND READABLE STORAGE MEDIUM",14.06.2022,"The embodiment of the invention belongs to the technical field of image processing and artificial intelligence, and relates to a TOF camera point cloud densification method, and the method comprises the steps: obtaining the shooting data of a TOF camera at each angle, obtaining the angle value of the TOF camera at each angle, measured by an angle limiting stopper, calculating the original three-dimensional coordinates of each angle, and obtaining the point cloud of the TOF camera. According to built-in parameters of the camera and the resolution data, calculating the inherent space angle resolution of each pixel at the original position, and according to the angle resolution, calculating the angle of each pixel in each row relative to the position of the main point of the camera at the row position; and calculating a new three-dimensional coordinate of the rotating TOF camera in the original position coordinate system according to the angle of each pixel and the original three-dimensional coordinate. The invention further provides a TOF camera point cloud densification device and equipment and a readable storage medium. In addition, the invention also relates to a block chain technology, and the point cloud data can be stored in a block chain. According to the invention, sparse point cloud densification is completed.",CN,H04N 13/128,https://www.wipo.int/ipcpub/?symbol=H04N0013128000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114603571,INTELLIGENT WAREHOUSING AND CARRYING ROBOT SYSTEM CAPABLE OF AUTOMATICALLY BALANCING AND STABILIZING LOAD,10.06.2022,"The invention provides an intelligent warehousing transfer robot system capable of automatically balancing and stabilizing load, which comprises a robot body, the top of the robot body is connected with a cylinder, and the surface of the cylinder is equidistantly connected with a plurality of rotatable storage mechanisms. Goods are placed on the two sides of the rotatable storage mechanism, so that the goods are conveniently carried through the robot body, and the control device controls the rotatable storage mechanism to rotate, so that the mass of the goods on the two sides of the top of the robot body is close; then the control device controls the leveling mechanism to adjust the mass of goods on the two sides of the top of the robot body to be equal, and when the robot body is emergently braked in the running process, stability of the robot body and the goods can be guaranteed, and the robot body and the goods are effectively prevented from toppling over; and the stability of the robot body during emergency braking can be further improved through the stabilizing mechanism, and the robot body and the goods are further prevented from toppling over.",CN,B25J 11/00,https://www.wipo.int/ipcpub/?symbol=B25J0011000000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02221E+11,LAWN TENNIS TRAINING DEVICE,10.06.2022,"A lawn tennis training device comprising an elongated body 1 utilized for enabling a user to train lawn tennis, multiple motorized omnidirectional wheels 2 via telescopically operated rods 3 for moving over a surface in various directions, an artificial intelligence enabled image capturing module 4 for capturing multiple images of user and decoding height of the user and accordingly actuates the rods 3, a touch interactive display panel 5 for selecting an expertise level, type of shot to be practiced, and time elapse between consecutive shots, wherein based on the selected type of shot, a ball storage chamber 6 filled with plurality of the tennis balls 7, a hydraulic pusher installed with the chamber 6 for dispensing one of the balls 7, a shaft 8 having a pair of rackets 9 for launching the ball towards the user to allowing the user to train lawn tennis in an appropriate manner.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02221E+11,LEG EXERCISING DEVICE,10.06.2022,"A leg exercising device comprises of a first and second portion 2, 3, an inlet 4 erected at first portion 2 for enabling user to enter within housing 1, a touch interactive display panel 5 positioned within second portion 3 of housing 1 for allowing user to enter their details, an artificial intelligence based imaging unit 6 mounted within housing 1 for capturing user?™s images, a telescopically powered T-shaped structure 7 configured with horizontal rod 8 to allow user to perform first-type of exercise, a pair of wearable body 9 configured on primary-platform mapped within housing 1 via pair of sliding arrangement 11 for accommodating user?™s foot, a C-shaped clamping unit 12 assembled with rope-pulley arrangement 13 installed on housing 1 for fastening user?™s heel portion and a motorized roller 14 having multiple pins 15 mapped on secondary-platform for allowing user to place their calf portion.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114615495,"MODEL QUANTIFICATION METHOD AND DEVICE, TERMINAL AND STORAGE MEDIUM",10.06.2022,"The embodiment of the invention discloses a model quantification method and device, a terminal and a storage medium, and belongs to the field of artificial intelligence. The method comprises the following steps: acquiring an original image acquired by a shooting assembly; in response to the change of the shooting scene identified based on the original image, determining a target quantization parameter of a first image processing model in the current shooting scene, the first image processing model being used for processing the original image to improve the image quality of the original image; and updating the original quantization parameter of the first image processing model to the target quantization parameter. Compared with image processing by using an image processing model with a fixed quantization parameter, the quantization parameter is dynamically adjusted based on different shooting scenes, so that the optimization quality of the image processing model in different scenes is improved, and the quality of the image processed by the model is improved.",CN,H04N 19/124,https://www.wipo.int/ipcpub/?symbol=H04N0019124000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,MACHINE LEARNING AND EMBEDDED TECHNOLOGY BASED FOOD SERVING ROBOT,10.06.2022,"AbstractFood production, handling, packing, transportation, planning, security, and food administration are all examples of modern activity in the food sector. The food business is sometimes seen as low-tech, although as assessed by its R&D to transaction ratio, it has recently become more innovative.Artificial intelligence robots are being employed all over the world. These robots, which were developed utilizing cutting-edge technology and Artificial Intelligence advancements, are designed to be utilized for human-focused development, perceiving humans, also, answering human feelings.The future of social robots that can interact with humans seems promising. There are now available housekeeping robots, friendliness robots, drink producing robots, pharmaceutical robots, table tennis trainers, and other sorts of robots. Despite advances in mechanical technology and automation, a few measures must be performed to fulfil the need for computerizing diverse food sector assembly processes.As far as we can tell, these issues are: the development of automated end-effectors that can adapt to a wide variety of food items while remaining cost-effective, the recognition of food items and materials in 3D situations, and a better understanding of primary data of food items from the perspective of mechanical care.",IN,G06N /,https://www.wipo.int/ipcpub/?symbol=G06N%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
20220180637,ARTIFICIAL INTELLIGENCE-ENABLED GOLF COURSE,09.06.2022,"A system for monitoring and recording and processing an activity includes one or more cameras for automatically recording video of the activity. A processor and memory associated and in communication with the camera is disposed near the location of the activity. The system may include AI logic configured to identify a user recorded within a video frame captured by the camera. The system may also detect and identify a user when the user is located within a predetermined area. The system may include a video processing engine configured to process images within the video frame to identify the user and may modify and format the video upon identifying the user and the activity. The system may include a communication module to communicate formatted video to a remote video processing system, which may further process the video and enable access to a mobile app of the user.",US,G06V 20/40,https://www.wipo.int/ipcpub/?symbol=G06V0020400000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114596573,"BIRD CERTIFICATE IDENTIFICATION METHOD AND DEVICE, COMPUTER EQUIPMENT AND STORAGE MEDIUM",07.06.2022,"The embodiment of the invention belongs to the technical field of image processing in artificial intelligence, and relates to a birth certificate identification method and device, computer equipment and a storage medium. In addition, the invention also relates to a block chain technology, and the target birth certificate information of the user can be stored in a block chain. According to the method, the image correction is performed on the initial birth certificate image to obtain the standard intermediate birth certificate image, then the text recognition is performed on the corrected intermediate birth certificate image to obtain the initial birth certificate information, and finally the real semantic information of the initial birth certificate information is obtained through the semantic recognition model. Therefore, interference factors such as different illumination, shooting angles and different backgrounds are effectively prevented from affecting the birth certificate recognition accuracy, further, real semantic information is recognized through the semantic recognition model, the situation that text content connection is incorrect due to the serial situation and the like is effectively avoided, and the birth certificate recognition accuracy is further improved.",CN,G06V 30/40,https://www.wipo.int/ipcpub/?symbol=G06V0030400000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114590690,ELEVATOR OPERATION CONTROL MANAGEMENT SYSTEM BASED ON ARTIFICIAL INTELLIGENCE,07.06.2022,"The invention discloses an elevator operation control management system based on artificial intelligence. Comprising an elevator operation control terminal setting module, an elevator operation speed regulation and control module, an elevator taking overload monitoring prompt module, an elevator taking subject recognition module, a taking subject dangerous state analysis module, a taking subject dangerous state voice prompt module, a dangerous taking state storage library, a control database and an emergency braking processing end. A human body infrared sensor and a thermal infrared imager are used for sensing a human body and analyzing the personnel gathering density, and a human body area environment image and an object area environment image are further obtained through area environment images, collected by an intelligent camera, of all steps, so that the danger level is obtained according to the human body area environment image; and corresponding emergency braking operation is carried out according to the danger level. In this way, the safety and reliability of elevator running are improved, and time errors caused by manual emergency braking operation in emergency situations are effectively avoided.",CN,B66B 25/00,https://www.wipo.int/ipcpub/?symbol=B66B0025000000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
216694987,LASER ROTARY TABLE CAMERA,07.06.2022,"The utility model belongs to the technical field of three-dimensional reconstruction, and particularly relates to a laser rotary table camera which is characterized in that after the laser rotary table camera is started, a background system of a laser camera main control circuit starts to be loaded, and the main control circuit starts a lens module and a laser range finder by sending starting signals to the lens module and the laser range finder; a user sends a shooting instruction to the main control circuit through the user terminal, and the main control circuit controls the lens module and the laser range finder to execute a shooting action according to the shooting instruction, receives an image signal sent by the lens module, receives a laser signal sent by the laser range finder, and receives an illumination signal output by the photosensitive sensor. And then the background of the main control circuit generates a panoramic image signal through an algorithm, and outputs the panoramic image signal to the screen board. Therefore, the background system of the laser camera can be quickly started, the panoramic image signal is output in combination with the collected laser signal and the plane image signal, so that the three-dimensional model is directly generated according to the panoramic image signal subsequently, and the measurement precision of the laser camera is improved.",CN,G01C 11/02,https://www.wipo.int/ipcpub/?symbol=G01C0011020000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114596586,POSTURE ANALYSIS SYSTEM BASED ON ARTIFICIAL INTELLIGENCE,07.06.2022,"The invention relates to the technical field of posture analysis, in particular to an artificial intelligence-based posture analysis system, which comprises a storage module, a comparison module and an acquisition module, the storage module comprises a computer and a notebook computer; the computer is used for recording personal information of personnel, and the notebook computer is used for recording each exercise type and exercise amount and then registering the exercise types and exercise amount in the computer; the acquisition module comprises an electronic scale, a body scanning device and a height weighing ruler; the body weight and the body contour of each stage are input into the storage module through the acquisition module and recorded in personal information, and the electronic scale and the body scanning device are communicated with the computer through USB data lines; according to the shape contour comparison method, a camera is adopted to shoot a human body contour picture, a shape contour picture is cut out through picture processing software, a previous shape contour line picture is placed on a white bottom layer with a grid, then the shape contour picture and the previous shape contour line picture are overlapped and laid, and the contour protrusion/depression amount is checked.",CN,G06V 40/10,https://www.wipo.int/ipcpub/?symbol=G06V0040100000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
216684657,POLE-CLIMBING ROBOT WITH SELF-WALKING FUNCTION,07.06.2022,"The utility model is suitable for the technical field of pole-climbing robots, and provides a pole-climbing robot with a self-walking function, which comprises a first box body, a second box body, a clamping mechanism and an inserting mechanism, the second box body is in threaded insertion connection with one side of the first box body, the clamping mechanism is fixedly connected with one side of the outer surface of the first box body, and the insertion connection mechanism is fixedly connected with the other side of the outer surface of the first box body; tools needing to be delivered can be placed in the second box body through a storage opening, a third motor is started until the two climbing wheels and the second box body can clamp the rod type building sufficiently, then a first motor is started until the two climbing wheels can adapt to the width of the rod type building, and finally a second motor is started; and at the moment, the inserting piece is inserted into the sleeve piece, the sleeve piece is driven to rotate, the two climbing wheels synchronously rotate, the first box body and the second box body climb or descend from the outer surface of the rod building, and a maintenance tool is conveniently provided for maintenance personnel.",CN,B62D 57/024,https://www.wipo.int/ipcpub/?symbol=B62D0057024000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
216700083,HISILICON INTELLIGENT AI CAMERA,07.06.2022,"The Hisilicon intelligent AI camera comprises a main shell, the main shell comprises a front cover, a rear cover and a side plate which are connected with one another, and an image acquisition board, a main board, an interface conversion circuit board, an interface expansion board and an aviation connector conversion board are installed in the main shell; the side plate is provided with an HDMI interface and a network port which are connected with the interface conversion circuit board, a plurality of USB interfaces which are connected with the interface expansion board, and an aviation joint which is connected with the aviation joint conversion board. The front cover is provided with a lens hole corresponding to the image acquisition plate, the outer side of the lens hole is provided with a lens assembly, the lens hole is also internally provided with an optical filter, and the optical filter is fixed in the lens hole through a fixing sheet; the front cover is also provided with an open window corresponding to the interface expansion board, and a cover plate is arranged in the open window; the mainboard is attached to the inner side of the rear cover through a heat conduction pad. According to the technical scheme, artificial intelligence and an industrial camera structure are combined, and the shooting effect is improved.",CN,H04N 5/225,https://www.wipo.int/ipcpub/?symbol=H04N0005225000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114595884,GENETIC INTELLIGENT OPTIMIZATION NEURAL NETWORK WIND POWER GENERATION EQUIPMENT TEMPERATURE PREDICTION METHOD,07.06.2022,"The invention provides a genetic intelligent optimization neural network wind power generation equipment temperature prediction method, and relates to the field of electric power energy and artificial intelligence. The method is characterized by providing an artificial intelligence-assisted deep learning wind power generation equipment temperature prediction method. The method comprises the following steps: firstly, in order to construct a data set required by the wind power generation equipment temperature prediction method, preprocessing input sample data, carrying out data labeling and normalization on a wind power equipment parameter data sequence, generating a data original matrix convenient for deep learning model processing, determining the dimension of the original matrix, and filling the data sequence into the original matrix; secondly, constructing a neural network model, including constructing a convolutional layer, an activation function layer, a pooling layer and a full connection layer; and finally, enabling the neural network parameter weight of each layer to correspond to a chromosome gene, carrying out multi-layer gene coding, constructing a fitness function, and carrying out exchange, variation and updating, thereby realizing efficient intelligent prediction for the temperature of the wind power generation equipment.",CN,G06Q 10/04,https://www.wipo.int/ipcpub/?symbol=G06Q0010040000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114580452,METHOD FOR REMOTELY SENSING RFID ELECTRONIC BOUNDARY BASED ON OLFACTION ALGORITHM,03.06.2022,"The invention discloses a method for remotely sensing an RFID electronic boundary based on an olfaction algorithm. The invention aims to provide a method for remotely sensing an RFID electronic boundary based on an olfaction algorithm, which is provided with a technical system for solving the problems of traditional boundary points, positioning, manual CNSS/total station measurement boundary points, large-range village and town ownership information autonomous acquisition and processing, RID electronic boundary point equipment and a land ownership/current situation investigation robot through combination of artificial intelligence and surveying and mapping. The unmanned aerial vehicle investigation monitoring robot and electronic boundary point intelligent sensing are realized, and the popularization and application of the new technology and the new mode can improve the land use efficiency of rural land investigation and monitoring, and traditionally depends on a remote sensing technology or artificial photo shooting. The problems that in the prior art, the remote sensing technology is shot from the air, the artificial intelligence level is low, the ground ownership survey is lack of robot autonomous control, collection and processing theories and methods, the GNSS combined total station technology is mostly adopted, and the measurement process mostly depends on manpower and depends on an ownership survey online service platform are solved.",CN,G06K 7/10,https://www.wipo.int/ipcpub/?symbol=G06K0007100000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114582134,WHOLE-COURSE PARKING LOT GUIDING SYSTEM AND METHOD BASED ON INTELLIGENT INTERACTION,03.06.2022,"The invention relates to the technical field of intelligent interactive parking, and discloses a whole-course parking lot guiding system and method based on intelligent interaction. The central system is in signal connection with a vehicle identification module, an artificial intelligence module, an intelligent parking guiding module, an intelligent user guiding module, an intelligent interaction module and an intelligent vehicle charging module, and the vehicle identification module comprises a camera shooting module which is used for shooting license plate information of a vehicle, a vehicle color, a vehicle appearance and a head portrait of a driver; the information input model is used for receiving the pictures captured by the camera shooting module and the shooting time of the pictures; the information display module is used for displaying parking lot information and parking space guidance; the intelligent user guiding module provides user vehicle parking whole-course guiding, the guiding modes include but are not limited to LED color lamps, spotlights, light reflecting modules, projection and holographic projection, optimal parking path planning is provided, and visual guiding is carried out.",CN,G08G 1/017,https://www.wipo.int/ipcpub/?symbol=G08G0001017000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114581398,TOBACCO VIBRATION GROOVE FAULT DETECTION SYSTEM BASED ON MULTI-MODE SIGNALS,03.06.2022,"The invention relates to the field of artificial intelligence, in particular to a tobacco vibration groove fault detection system based on multi-modal signals, which comprises the steps of video shooting, video cutting and audio segmentation, model coding, MFCC feature extraction, vector feature code establishment, cosine distance calculation, numerical value analysis and the like. The vibration condition of the tobacco vibration groove is automatically judged by utilizing an artificial intelligence technology and integrating visual and sound signals, and compared with a manual judgment scheme, the system reliability is higher, the detection is more intelligent, and the labor cost is lower.",CN,G06T 7/00,https://www.wipo.int/ipcpub/?symbol=G06T0007000000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
WO/2022/114292,CLOUD-BASED ARTIFICIAL INTELLIGENCE MUSCULAR STRENGTH EXERCISE GUIDE SYSTEM,02.06.2022,"The present invention relates to a cloud-based artificial intelligence muscular strength exercise guide system for determining a muscle which is to be strengthened by objectively evaluating the muscular strength of a user, enabling a goal desired by the user to be established on the basis thereof, and recommending a suitable exercise matching the goal by also objectively evaluating an exercise for achieving the goal and, more particularly, to a cloud-based artificial intelligence muscular strength exercise guide system for generating statistical information regarding muscle states for each user group obtained by classifying, according to individual characteristics, users who obtained muscle states by using an electromyogram measuring device (10) and a personal terminal (20), enabling a muscle state of a user group desired by a user to be established as a goal of a muscular strength exercise by comparing and evaluating the muscle state of the user and the statistical information of each user group, selecting a suitable exercise according to fitness by receiving, from an expert group, a recommendation for an exercise suitable to a muscular strength exercise goal, and recommending same.",WO,A63B 24/00,https://www.wipo.int/ipcpub/?symbol=A63B0024000000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
4006754,"PROMPTING METHOD FOR FITNESS TRAINING, AND ELECTRONIC DEVICE",01.06.2022,"This application provides a prompt method for fitness training and an electronic device, and relates to the field of artificial intelligence. The method includes: obtaining required training space, where the required training space is used to complete one or more training actions (801); determining, based on a training scenario in which a user is located and the required training space, a training location recommended to the user (802); and collecting a training action of the user based on the training location recommended to the user (803). A suitable training location is recommended to the user based on the training scenario in which the user is located and the required training space. Therefore, the user can also normally perform training in a scenario in which exercise space is limited, for example, when there is an obstruction or a site is insufficient.",EP,G06F 17/40,https://www.wipo.int/ipcpub/?symbol=G06F0017400000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
216643591,ARTIFICIAL INTELLIGENCE MONITORING EQUIPMENT,31.05.2022,"The utility model provides an artificial intelligence monitoring device, relates to the intelligent monitoring technology field, and is characterized in that a transmission assembly is internally and rotatably connected with a main gear and an auxiliary gear located at the front end of an opening, the main gear and the auxiliary gear are correspondingly arranged front and back and are engaged with each other, and the main gear extends out of the opening and is engaged with a rack; a transmission shaft penetrating through the bottom wall of the movable part downwards is fixed to the bottom of the auxiliary gear, and a plurality of auxiliary blades are embedded in the outer wall of the transmission shaft; the two sides of the transmission assembly are each provided with two movable parts symmetrically arranged on the outer wall of the track front and back, the faces, facing the track, of the movable parts are provided with connecting grooves, a plurality of oil release holes are evenly formed in the inner walls of the connecting grooves, and a layer of wiping cotton covering the outer sides of the oil release holes is bonded to the inner walls of the connecting grooves. Four groups of moving parts are respectively stabilized on the two sides of the transmission assembly to move, so that the shooting stability of the intelligent monitoring assembly is indirectly improved, the wiping cotton can wipe the side wall of the track, and lubricating oil is smeared on the track.",CN,F16M 11/04,https://www.wipo.int/ipcpub/?symbol=F16M0011040000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114565884,WORK VIOLATION IDENTIFICATION METHOD BASED ON ARTIFICIAL INTELLIGENCE AND BIG DATA TECHNOLOGY,31.05.2022,"The invention discloses an operation violation identification method based on artificial intelligence and a big data technology, and the method comprises the steps: carrying out the real-time monitoring of a transformer substation, and judging whether there is an operator in an image or not through an image recognition algorithm; if there is an operator, shooting the operator through a camera, comparing the clothes of the operator with the clothes of the operator recorded on the big data platform, checking whether the clothes of the operator are standard or not, and if the clothes of the operator are not standard, giving an alarm; monitoring the operation process of the operator in real time, and extracting a head sample image and an elbow sample image of the operator from the image data; the operation process of the operator is compared with the dangerous situation recorded on the big data platform in the operation process, so that whether the human body posture of the operator breaks rules or not is judged; the invention belongs to the technical field of electric power operation management, and particularly relates to an operation violation identification method based on artificial intelligence and a big data technology.",CN,G06V 20/52,https://www.wipo.int/ipcpub/?symbol=G06V0020520000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114559774,UNMANNED AUTOMOBILE TIRE MONITORING METHOD BASED ON ARTIFICIAL INTELLIGENCE,31.05.2022,"The invention discloses a driverless car tire monitoring method based on artificial intelligence. The driverless car tire monitoring method comprises the steps that A001, an operation characteristic sequence corresponding to driverless car tires in an initial time period is obtained; a002, calculating a running state measurement standard corresponding to the driverless car tire; a003, the running state closeness degree between any two tires of the pilotless automobile is calculated; a004, calculating corresponding normal working parameters of the driverless car tire in each time stage in the initial time period; and A005, simulating the object pre-estimation model, wherein the simulated object pre-estimation model is used for speculating the normal working variables of the driverless car tire in the future time period and predicting the working condition of the driverless car tire. According to the technical scheme, the tire pressure and the temperature of the driverless car tire are monitored, and the situation that the tire is internally cracked and burst due to the too high temperature and the tire pressure, and dangerous factors are brought to driving is avoided.",CN,B60C 23/04,https://www.wipo.int/ipcpub/?symbol=B60C0023040000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114549859,"BONE AGE PREDICTION METHOD AND DEVICE, ELECTRONIC EQUIPMENT AND STORAGE MEDIUM",27.05.2022,"The invention provides a bone age prediction method and device, electronic equipment and a storage medium, and belongs to the technical field of artificial intelligence. The method comprises the following steps: acquiring a target skeleton image; performing key point detection on the target skeleton image through a first key point detection model to obtain a first target skeleton key point; performing first posture correction processing on the target skeleton image according to the first target skeleton key point to obtain a standard skeleton image; performing segmentation processing on the standard skeleton image through the image segmentation model to obtain a preliminary skeleton foreground image; performing key point detection on the standard skeleton image through a second key point detection model to obtain a second target skeleton key point; performing second posture correction processing on the preliminary skeleton foreground image according to the second target skeleton key point to obtain a standard skeleton foreground image; and inputting the standard skeleton foreground image into a bone age prediction model for bone age prediction to obtain bone age prediction data. The accuracy of bone age prediction can be improved.",CN,G06V 10/46,https://www.wipo.int/ipcpub/?symbol=G06V0010460000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114536316,MEDICAL ROBOT CLAMPING ADJUSTING STRUCTURE AND CONTROL SYSTEM BASED ON ARTIFICIAL INTELLIGENCE,27.05.2022,"The invention discloses a medical robot clamping adjusting structure and control system based on artificial intelligence, the medical robot clamping adjusting structure comprises a negative film, a control box seat, a mounting cover, a clamping mechanism and a power supply wiring, and the middle side of the top of the negative film is fixedly connected with the control box seat. Under the action of an electric push rod, an inner gear sleeve column drives a sleeve frame to move in the vertical position direction, then a second motor serves as a power source to enable the sleeve frame to rotate in the horizontal direction, meanwhile, an adjusting and positioning assembly is arranged on the inner side of a first arc-shaped frame and the inner side of a second arc-shaped frame, and arc-shaped blocks on the two sides rotate with stand columns as fulcrums through a fourth motor; therefore, the angles of the inner sides of the two arc-shaped blocks are changed to clamp an instrument with a small size, and the clamping stability is improved; and rotating speed sensors are arranged at the output ends of the first motor, the second motor, the third motor and the fourth motor and used for monitoring the running states of the motors, and the driving running states of the motors are monitored in real time, so that the use stability of the motors is guaranteed.",CN,B25J 9/10,https://www.wipo.int/ipcpub/?symbol=B25J0009100000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,AI BASED RECOGNITION SYSTEM TO DEPLOY FACE RECOGNITION SYSTEM IN AID OF SECURITY AND SUPERVISION AT SPECIAL AREAS,27.05.2022,"The main objective of the invention is to develop an AI-based face recognition Model which is implemented following the Deep Learning algorithm for the security system for making decisions to lock or unlock the door system and to deploy the developed AI Model in a Docker Container on an IoT platform. The main aim of the invention would be to achieve the edge computing concept that brings the Artificial Intelligence to the low power Internet of Things devices with the help of containerization concept. Containerization would be similar to the virtualization. Docker containers are easy to port on various IoT devices. Along with the portability, Docker includes all the dependencies and modules required for running the application in a container. The research work comprises the methodology of developing the containerized AI model and deploying the containerized application on the Raspberry Pi IoT device, which consists of the ARM processor. We conclude that the containerized application run with high efficiency, is portable and transferable between multiple platforms, and the containerized application is compatible with multiple architectures.",IN,H04L /,https://www.wipo.int/ipcpub/?symbol=H04L%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
114550044,ELEVATOR CAR ABNORMAL EVENT MONITORING AND EARLY WARNING SYSTEM BASED ON TARGET DETECTION NETWORK,27.05.2022,"The invention discloses an elevator car abnormal event monitoring and early warning system based on a target detection network. The system mainly solves the problems that in the prior art, network time delay exists, real-time monitoring cannot be achieved, and the computing power is low. The system comprises an elevator car, a switch and a server, a control panel, a camera and a loudspeaker are installed in the elevator car, the camera is sequentially connected with the switch and the server, and the camera is connected with the control panel and the loudspeaker. An artificial intelligence chip and different functional modules are arranged in the camera, target detection is carried out on shot videos through the camera, when the electric vehicle is detected, the loudspeaker sends out an alarm signal, and the control panel controls the elevator car to stop running. And meanwhile, the camera encodes and pushes a video code stream with a detection result, and the server side receives, decodes and displays the video code stream. Network time delay can be avoided, an alarm signal is sent out in real time, elevator operation is controlled, the calculation power and the calculation speed are improved, and the method can be used for accurately monitoring and recognizing the electric vehicle.",CN,G06V 20/40,https://www.wipo.int/ipcpub/?symbol=G06V0020400000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
